date,ticker,open,high,low,close,volume,return_linear,sent_mean,sent_median,sent_std,sent_count
2025-05-02,BOVA11.SA,131.6199951171875,132.1199951171875,131.1699981689453,131.85000610351562,5741260.0,,-0.2042806583933713,-0.417327657341957,0.5872834593190259,82
2025-05-05,BOVA11.SA,131.7899932861328,132.10000610351562,130.27999877929688,130.33999633789062,3325658.0,-0.011452481575461526,-0.064029831400043,0.05,0.5968150612442864,76
2025-05-06,BOVA11.SA,130.8699951171875,131.02999877929688,130.13999938964844,130.3800048828125,4659894.0,0.00030695524049395573,-0.0381921760737895,0.05,0.6425601992837874,80
2025-05-07,BOVA11.SA,130.94000244140625,130.99000549316406,129.72000122070312,130.2100067138672,3107370.0,-0.0013038668705228629,0.0166366724967956,0.05,0.6134754776598542,75
2025-05-08,BOVA11.SA,132.6300048828125,134.47000122070312,132.50999450683594,133.0399932861328,5772982.0,0.02173401755891491,0.1810091387534487,0.05,0.5419659661998616,69
2025-05-09,BOVA11.SA,133.5500030517578,134.02999877929688,132.9499969482422,133.24000549316406,7205629.0,0.001503399106470793,0.0358230233192443,0.05,0.6003054327514431,83
2025-05-12,BOVA11.SA,134.27999877929688,134.35000610351562,133.13999938964844,133.38999938964844,5031648.0,0.0011257421967914016,0.0853099163574508,0.05,0.5835529232989949,79
2025-05-13,BOVA11.SA,133.89999389648438,136.27999877929688,133.77000427246094,135.61000061035156,10001857.0,0.01664293598366573,-0.1415796971804387,0.05,0.6312844864748405,74
2025-05-14,BOVA11.SA,135.57000732421875,135.99000549316406,134.99000549316406,135.19000244140625,10297464.0,-0.0030971032155076017,-0.0444136488437652,0.05,0.5664571664750314,80
2025-05-15,BOVA11.SA,135.14999389648438,136.44000244140625,135.1300048828125,136.07000732421875,6874103.0,0.006509393201571401,0.0497742593288421,0.05,0.6264061755899514,84
2025-05-16,BOVA11.SA,134.97999572753906,136.11000061035156,134.4499969482422,136.11000061035156,10660550.0,0.00029391698375902386,-0.1917457776864369,0.05,0.6032102544561841,75
2025-05-19,BOVA11.SA,135.6999969482422,136.97999572753906,135.3800048828125,136.4199981689453,4123908.0,0.002277551665591293,-0.1917682505448659,0.05,0.5414009811448814,75
2025-05-20,BOVA11.SA,136.5399932861328,137.0500030517578,135.75,136.83999633789062,3465298.0,0.003078714078453393,-0.1210409664127924,0.05,0.5543624020308487,73
2025-05-21,BOVA11.SA,136.38999938964844,136.4199981689453,134.33999633789062,134.58999633789062,3912091.0,-0.01644256109481479,-0.2007592396438121,0.05,0.5094221180897864,40
2025-05-22,BOVA11.SA,134.82000732421875,135.67999267578125,133.83999633789062,134.0500030517578,6065741.0,-0.004012135380233928,-0.2492010481082476,-0.5213594436645508,0.5439165049313581,78
2025-05-23,BOVA11.SA,132.25999450683594,134.6300048828125,131.8000030517578,134.47000122070312,5062985.0,0.0031331455381105044,-0.2694647185313396,-0.4837163984775543,0.536407013265461,39
2025-05-26,BOVA11.SA,134.55999755859375,135.72000122070312,134.52000427246094,135.00999450683594,3834088.0,0.00401571563345593,-0.2611279706896087,-0.4713955223560333,0.513873332476145,81
2025-05-27,BOVA11.SA,136.64999389648438,137.19000244140625,136.14999389648438,136.4600067138672,5172279.0,0.01074003604198226,-0.1961248819704179,0.05,0.5494151054502018,77
2025-05-28,BOVA11.SA,135.97999572753906,136.10000610351562,135.39999389648438,135.7100067138672,3717190.0,-0.005496115807561264,-0.147664471467336,0.05,0.5523320343203898,84
2025-05-29,BOVA11.SA,135.6999969482422,135.92999267578125,134.77000427246094,135.36000061035156,4519155.0,-0.0025790736585370455,-0.1527419132430378,0.05,0.5182290726883627,82
2025-05-30,BOVA11.SA,135.22999572753906,135.42999267578125,133.50999450683594,133.99000549316406,5037477.0,-0.010121122274010519,-0.242849413915114,-0.5353474020957947,0.5661329950496106,77
2025-06-02,BOVA11.SA,135.02999877929688,135.60000610351562,133.3300018310547,133.60000610351562,3143725.0,-0.0029106603004679377,-0.1687929669471636,0.05,0.5384957843048761,73
2025-06-03,BOVA11.SA,133.50999450683594,134.57000732421875,133.0500030517578,134.39999389648438,4421313.0,0.005987932308542776,-0.2201077720393305,0.05,0.5282434198818976,69
2025-06-04,BOVA11.SA,135.00999450683594,135.63999938964844,133.6300048828125,133.80999755859375,4990188.0,-0.0043898539039000095,-0.2026836536147377,-0.1796126872301101,0.5645050293710313,66
2025-06-05,BOVA11.SA,134.11000061035156,134.39999389648438,132.91000366210938,133.25,4926223.0,-0.004185020318444699,-0.2644152033787507,-0.1438603162765503,0.4766296674192889,78
2025-06-06,BOVA11.SA,133.47000122070312,133.86000061035156,132.49000549316406,133.05999755859375,8299346.0,-0.0014259095039869107,-0.1903623272846271,0.05,0.540906403250371,77
2025-06-09,BOVA11.SA,132.61000061035156,132.94000244140625,131.07000732421875,132.72999572753906,5320983.0,-0.002480097979179474,-0.2160405825409624,0.05,0.4871006636319214,72
2025-06-10,BOVA11.SA,133.67999267578125,134.32000732421875,133.0,133.35000610351562,5714411.0,0.004671215218369218,-0.1439511987992695,0.05,0.6083658228507073,70
2025-06-11,BOVA11.SA,133.0,134.42999267578125,132.50999450683594,133.97000122070312,4996750.0,0.004649381993325319,-0.2080753698542311,-0.5211829543113708,0.5911926806591024,74
2025-06-12,BOVA11.SA,133.13999938964844,134.85000610351562,133.02999877929688,134.66000366210938,3017576.0,0.005150424984094348,-0.1684456537307148,0.05,0.5840140394954664,71
2025-06-13,BOVA11.SA,134.0,134.60000610351562,133.39999389648438,133.99000549316406,6901899.0,-0.0049754801034053164,-0.2102663674137809,-0.413237452507019,0.6005714176816769,77
2025-06-16,BOVA11.SA,135.1699981689453,136.8699951171875,135.14999389648438,136.07000732421875,7774867.0,0.015523559562513833,-0.2241780963612765,-0.4595759361982345,0.576267130911941,82
2025-06-17,BOVA11.SA,136.0399932861328,136.41000366210938,135.1699981689453,135.52000427246094,5284805.0,-0.004042059397022735,-0.2056474822231486,0.05,0.5505732009279074,79
2025-06-18,BOVA11.SA,135.58999633789062,136.0800018310547,135.3000030517578,135.4199981689453,8894582.0,-0.0007379434796546125,-0.2150219477487333,0.05,0.4939246624971472,66
2025-06-20,BOVA11.SA,134.61000061035156,135.0,133.74000549316406,133.89999389648438,5885813.0,-0.011224370794663763,-0.2386130113106269,-0.4957641959190368,0.5804319200211191,77
2025-06-23,BOVA11.SA,134.02999877929688,134.11000061035156,132.8000030517578,133.47000122070312,7548143.0,-0.0032112972022513286,-0.1411535323460896,0.05,0.5255664826098387,75
2025-06-24,BOVA11.SA,133.5399932861328,135.05999755859375,133.13999938964844,134.07000732421875,7467005.0,0.004495437911351097,-0.1854962251981099,0.05,0.5567259338238291,75
2025-06-25,BOVA11.SA,133.24000549316406,133.52999877929688,132.52000427246094,132.5500030517578,6663014.0,-0.011337392328062967,-0.1697090753225179,0.05,0.5766560857933837,65
2025-06-26,BOVA11.SA,133.3699951171875,134.2899932861328,132.94000244140625,133.9600067138672,7773826.0,0.010637522668021315,-0.1600144594510396,0.05,0.5705052355374594,75
2025-06-27,BOVA11.SA,133.42999267578125,134.19000244140625,133.3699951171875,133.7899932861328,3731569.0,-0.0012691357062821762,-0.1253523718427728,0.05,0.5588799124115434,81
2025-06-30,BOVA11.SA,133.55999755859375,136.0399932861328,133.41000366210938,135.85000610351562,4715665.0,0.015397360944455096,-0.0028061662171338,0.05,0.594981825665161,74
